X,Y
-4.90566951,1.344452444
-4.355543221,0.63463152
-3.761455522,-0.052559476
-3.167367822,-0.739750471
-2.573280122,-1.426941467
-1.770172015,-1.679089199
-1.147875059,-1.031168236
-0.55378736,-0.34397724
0.04030034,0.343213755
0.634388042,1.030404754
0.842361986,1.867617763
0.292238531,2.577439724
-0.301849168,3.264630719
-0.895936867,3.951821715
-1.490024567,4.639012711
-2.29313122,4.891164378
-2.915429631,4.243246035
-3.50951733,3.55605504
-4.103605029,2.868864044
-4.697692729,2.181673049
-1.648190042,4.821965313
-1.665349594,4.840169779
-1.6828502,4.854774229
-1.70782084,4.870515196
-1.73934938,4.883858014
-1.770172015,4.89116372
-1.791742087,4.893264964
-2.165448504,4.893438836
-1.932302486,4.893438836
-2.313703238,4.88687493
-2.339127915,4.878245362
-2.362988365,4.866326577
-2.380457323,4.854774229
-2.397957929,4.840169779
-2.407452891,4.830633886
-2.415117481,4.821965313
-4.849624727,2.005930812
-4.87679059,1.970452315
-4.891335299,1.941551203
-4.901404068,1.908565709
-4.90566951,1.867617763
-4.90566951,1.824417018
-4.90566951,1.583076911
-4.904657036,1.324326006
-4.901527526,1.304096607
-4.896331297,1.284355148
-4.890842173,1.269314363
-4.883121362,1.252784406
-4.875529246,1.239586016
-4.867092994,1.227220897
-4.849624727,1.20614371
-4.859219174,1.217262033
-4.83883254,1.19366021
-2.415117481,-1.609890791
-2.397957929,-1.628095257
-2.380457323,-1.642699707
-2.362988365,-1.654252055
-2.339127915,-1.66617084
-2.313703238,-1.674800408
-2.29313122,-1.679089856
-2.273326971,-1.68110845
-2.056628764,-1.681364314
-1.73934938,-1.671783492
-1.718732312,-1.663799669
-1.70782084,-1.658440674
-1.6828502,-1.642699707
-1.665349594,-1.628095257
-1.648190042,-1.609890791
-1.648190042,-1.609890791
0.736306441,1.14829544
0.795911651,1.217262033
0.812221722,1.239586016
0.827534649,1.269314363
0.838220003,1.304096607
0.842361986,1.344452444
0.842361986,1.393345695
0.841744887,1.883383659
0.840006682,1.898169079
0.838096545,1.908565709
0.834175419,1.923987572
0.828027776,1.941551203
0.823375745,1.952155972
0.816931073,1.964584146
0.808658435,1.977959684
0.795911651,1.994812489
